2026-04-12 15:09:08 | INFO     | app.main | Verath starting up...
2026-04-12 15:09:08 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:09:08 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:09:08 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:09:08 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:09:08 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:09:10 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:09:10 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:09:10 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:09:45 | INFO     | app.main | Verath starting up...
2026-04-12 15:09:45 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:09:45 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:09:45 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:09:45 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:09:45 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:22:44 | WARNING  | passlib.handlers.bcrypt | (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "C:\Users\Aris\Desktop\project\Verath\backend\.venv\Lib\site-packages\passlib\handlers\bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2026-04-12 15:23:14 | WARNING  | passlib.handlers.bcrypt | (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "C:\Users\Aris\Desktop\project\Verath\backend\.venv\Lib\site-packages\passlib\handlers\bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2026-04-12 15:24:26 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:24:26 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:24:26 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:24:51 | INFO     | app.main | Verath starting up...
2026-04-12 15:24:51 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:24:51 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:24:51 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:24:51 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:24:51 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:24:51 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:24:51 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:24:51 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:25:03 | INFO     | app.main | Verath starting up...
2026-04-12 15:25:03 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:25:03 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:25:03 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:25:03 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:25:03 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:25:03 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:25:03 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:25:03 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:25:07 | INFO     | app.main | Verath starting up...
2026-04-12 15:25:07 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:25:07 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:25:07 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:25:07 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:25:07 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:26:30 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:26:30 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:26:30 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:26:55 | INFO     | app.main | Verath starting up...
2026-04-12 15:26:55 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:26:55 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:26:55 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:26:55 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:26:55 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:27:29 | INFO     | app.main | Verath starting up...
2026-04-12 15:27:29 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:27:29 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:27:29 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:27:29 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:27:29 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:28:05 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:28:05 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:28:05 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:28:05 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:28:05 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:28:05 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:28:16 | INFO     | app.main | Verath starting up...
2026-04-12 15:28:16 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
